Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,6000,2000,0,0,1760792333892,1760792333989,11327515,0,0
2,0,10000,2000,0,0,1760792338906,1760792338976,21253778,0,0
3,0,8000,2000,0,0,1760792343880,1760792343921,31102996,0,0
4,0,6000,2000,0,0,1760792348878,1760792348919,41057924,0,0
5,0,4000,2000,0,2000,1760792353901,1760792353964,39898577,0,39898577
